t  1  2  3  jxH0100
2.1  -1.3684  -3  -3  -1.3684
2.11  -1.28298  -2.8  -2.8  -1.28298
2.12  -1.19676  -2.6  -2.6  -1.19676
2.13  -1.10972  -2.4  -2.4  -1.10972
2.14  -1.02187  -2.2  -2.2  -1.02187
2.15  -0.933197  -2  -2  -0.933197
2.16  -0.843697  -1.8  -1.8  -0.843697
2.17  -0.753363  -1.6  -1.6  -0.753363
2.18  -0.662191  -1.4  -1.4  -0.662191
2.19  -0.570174  -1.2  -1.2  -0.570174
2.2  -0.477306  -1  -1  -0.477306
2.21  -0.383582  -0.8  -0.8  -0.383582
2.22  -0.288996  -0.6  -0.6  -0.288996
2.23  -0.0184326  -0.4  -0.4  -0.0184326
2.24  -0.00924846  -0.2  -0.2  -0.00924846
2.25  -3.73773e-15  -7.99361e-14  -7.99361e-14  -3.73773e-15
2.26  0.00931316  0.2  0.2  0.00931316
2.27  0.0186914  0.4  0.4  0.0186914
2.28  0.296977  0.6  0.6  0.296977
2.29  0.397771  0.8  0.8  0.397771
2.3  1.05883  1  1  1.05883
2.31  1.30427  1.2  1.2  1.30427
2.32  1.52165  1.4  1.4  1.52165
2.33  1.73903  1.6  1.6  1.73903
2.34  1.95641  1.8  1.8  1.95641
2.35  2.17378  2  2  2.17378
2.36  2.39116  2.2  2.2  2.39116
2.37  2.60854  2.4  2.4  2.60854
2.38  2.82592  2.6  2.6  2.82592
2.39  3.0433  2.8  2.8  3.0433
2.4  3.26068  3  3  3.26068
2.41  3.47805  3.2  3.2  3.47805
2.42  3.69543  3.4  3.4  3.69543
2.43  3.91281  3.6  3.6  3.91281
2.44  4.13019  3.8  3.8  4.13019
2.45  4.34757  4  4  4.34757
2.46  4.56495  4.2  4.2  4.56495
2.47  4.78233  4.4  4.4  4.78233
2.48  4.9997  4.6  4.6  4.9997
2.49  5.21708  4.8  4.8  5.21708
2.5  5.43446  5  5  5.43446
2.51  5.21708  4.8  4.8  5.21708
2.52  4.9997  4.6  4.6  4.9997
2.53  4.78233  4.4  4.4  4.78233
2.54  4.56495  4.2  4.2  4.56495
2.55  4.34757  4  4  4.34757
2.56  4.13019  3.8  3.8  4.13019
2.57  3.91281  3.6  3.6  3.91281
2.58  3.69543  3.4  3.4  3.69543
2.59  3.47805  3.2  3.2  3.47805
2.6  3.26068  3  3  3.26068
2.61  3.0433  2.8  2.8  3.0433
2.62  2.82592  2.6  2.6  2.82592
2.63  2.60854  2.4  2.4  2.60854
2.64  2.39116  2.2  2.2  2.39116
2.65  2.17378  2  2  2.17378
2.66  1.95641  1.8  1.8  1.95641
2.67  1.73903  1.6  1.6  1.73903
2.68  1.52165  1.4  1.4  1.52165
2.69  1.30427  1.2  1.2  1.30427
2.7  1.08689  1  1  1.08689
2.71  0.869514  0.8  0.8  0.869514
2.72  0.313947  0.6  0.6  0.313947
2.73  0.0187788  0.4  0.4  0.0187788
2.74  0.00935663  0.2  0.2  0.00935663
2.75  1.37314e-14  2.93099e-13  2.93099e-13  1.37314e-14
2.76  -0.00929153  -0.2  -0.2  -0.00929153
2.77  -0.0185184  -0.4  -0.4  -0.0185184
2.78  -0.289124  -0.6  -0.6  -0.289124
2.79  -0.383752  -0.8  -0.8  -0.383752
2.8  -0.477518  -1  -1  -0.477518
2.81  -0.570427  -1.2  -1.2  -0.570427
2.82  -0.662484  -1.4  -1.4  -0.662484
2.83  -0.753697  -1.6  -1.6  -0.753697
2.84  -0.84407  -1.8  -1.8  -0.84407
2.85  -0.93361  -2  -2  -0.93361
2.86  -1.02232  -2.2  -2.2  -1.02232
2.87  -1.11021  -2.4  -2.4  -1.11021
2.88  -1.19729  -2.6  -2.6  -1.19729
2.89  -1.28355  -2.8  -2.8  -1.28355
2.9  -1.36901  -3  -3  -1.36901
2.91  -1.45367  -3.2  -3.2  -1.45367
2.92  -1.53754  -3.4  -3.4  -1.53754
2.93  -1.62061  -3.6  -3.6  -1.62061
2.94  -1.70291  -3.8  -3.8  -1.70291
2.95  -1.78443  -4  -4  -1.78443
2.96  -1.86517  -4.2  -4.2  -1.86517
2.97  -1.94515  -4.4  -4.4  -1.94515
2.98  -2.02437  -4.6  -4.6  -2.02437
2.99  -2.10284  -4.8  -4.8  -2.10284
3  -2.18055  -5  -5  -2.18055
3.01  -2.10191  -4.8  -4.8  -2.10191
3.02  -2.02348  -4.6  -4.6  -2.02348
3.03  -1.94429  -4.4  -4.4  -1.94429
3.04  -1.86435  -4.2  -4.2  -1.86435
3.05  -1.78364  -4  -4  -1.78364
3.06  -1.70216  -3.8  -3.8  -1.70216
3.07  -1.6199  -3.6  -3.6  -1.6199
3.08  -1.53686  -3.4  -3.4  -1.53686
3.09  -1.45303  -3.2  -3.2  -1.45303
3.1  -1.3684  -3  -3  -1.3684
3.11  -1.28298  -2.8  -2.8  -1.28298
3.12  -1.19676  -2.6  -2.6  -1.19676
3.13  -1.10972  -2.4  -2.4  -1.10972
3.14  -1.02187  -2.2  -2.2  -1.02187
3.15  -0.933197  -2  -2  -0.933197
3.16  -0.843697  -1.8  -1.8  -0.843697
3.17  -0.753363  -1.6  -1.6  -0.753363
3.18  -0.662191  -1.4  -1.4  -0.662191
3.19  -0.570174  -1.2  -1.2  -0.570174
3.2  -0.477306  -1  -1  -0.477306
3.21  -0.383582  -0.8  -0.8  -0.383582
3.22  -0.288996  -0.6  -0.6  -0.288996
3.23  -0.0184326  -0.4  -0.4  -0.0184326
3.24  -0.00924846  -0.2  -0.2  -0.00924846
3.25  -2.34873e-14  -5.06262e-13  -5.06262e-13  -2.34873e-14
3.26  0.00931316  0.2  0.2  0.00931316
3.27  0.0186914  0.4  0.4  0.0186914
3.28  0.296977  0.6  0.6  0.296977
3.29  0.397771  0.8  0.8  0.397771
3.3  1.05883  1  1  1.05883
3.31  1.30427  1.2  1.2  1.30427
3.32  1.52165  1.4  1.4  1.52165
3.33  1.73903  1.6  1.6  1.73903
3.34  1.95641  1.8  1.8  1.95641
3.35  2.17378  2  2  2.17378
3.36  2.39116  2.2  2.2  2.39116
3.37  2.60854  2.4  2.4  2.60854
3.38  2.82592  2.6  2.6  2.82592
3.39  3.0433  2.8  2.8  3.0433
3.4  3.26068  3  3  3.26068
3.41  3.47805  3.2  3.2  3.47805
3.42  3.69543  3.4  3.4  3.69543
3.43  3.91281  3.6  3.6  3.91281
3.44  4.13019  3.8  3.8  4.13019
3.45  4.34757  4  4  4.34757
3.46  4.56495  4.2  4.2  4.56495
3.47  4.78233  4.4  4.4  4.78233
3.48  4.9997  4.6  4.6  4.9997
3.49  5.21708  4.8  4.8  5.21708
3.5  5.43446  5  5  5.43446
3.51  5.21708  4.8  4.8  5.21708
3.52  4.9997  4.6  4.6  4.9997
3.53  4.78233  4.4  4.4  4.78233
3.54  4.56495  4.2  4.2  4.56495
3.55  4.34757  4  4  4.34757
3.56  4.13019  3.8  3.8  4.13019
3.57  3.91281  3.6  3.6  3.91281
3.58  3.69543  3.4  3.4  3.69543
3.59  3.47805  3.2  3.2  3.47805
3.6  3.26068  3  3  3.26068
3.61  3.0433  2.8  2.8  3.0433
3.62  2.82592  2.6  2.6  2.82592
3.63  2.60854  2.4  2.4  2.60854
3.64  2.39116  2.2  2.2  2.39116
3.65  2.17378  2  2  2.17378
3.66  1.95641  1.8  1.8  1.95641
3.67  1.73903  1.6  1.6  1.73903
3.68  1.52165  1.4  1.4  1.52165
3.69  1.30427  1.2  1.2  1.30427
3.7  1.08689  1  1  1.08689
3.71  0.869514  0.8  0.8  0.869514
3.72  0.313947  0.6  0.6  0.313947
3.73  0.0187788  0.4  0.4  0.0187788
3.74  0.00935663  0.2  0.2  0.00935663
3.75  3.34621e-14  7.19425e-13  7.19425e-13  3.34621e-14
3.76  -0.00929153  -0.2  -0.2  -0.00929153
3.77  -0.0185184  -0.4  -0.4  -0.0185184
3.78  -0.289124  -0.6  -0.6  -0.289124
3.79  -0.383752  -0.8  -0.8  -0.383752
3.8  -0.477518  -1  -1  -0.477518
3.81  -0.570427  -1.2  -1.2  -0.570427
3.82  -0.662484  -1.4  -1.4  -0.662484
3.83  -0.753697  -1.6  -1.6  -0.753697
3.84  -0.84407  -1.8  -1.8  -0.84407
3.85  -0.93361  -2  -2  -0.93361
3.86  -1.02232  -2.2  -2.2  -1.02232
3.87  -1.11021  -2.4  -2.4  -1.11021
3.88  -1.19729  -2.6  -2.6  -1.19729
3.89  -1.28355  -2.8  -2.8  -1.28355
3.9  -1.36901  -3  -3  -1.36901
3.91  -1.45367  -3.2  -3.2  -1.45367
3.92  -1.53754  -3.4  -3.4  -1.53754
3.93  -1.62061  -3.6  -3.6  -1.62061
3.94  -1.70291  -3.8  -3.8  -1.70291
3.95  -1.78443  -4  -4  -1.78443
3.96  -1.86517  -4.2  -4.2  -1.86517
3.97  -1.94515  -4.4  -4.4  -1.94515
3.98  -2.02437  -4.6  -4.6  -2.02437
3.99  -2.10284  -4.8  -4.8  -2.10284
4  -2.18055  -5  -5  -2.18055
4.01  -2.10191  -4.8  -4.8  -2.10191
4.02  -2.02348  -4.6  -4.6  -2.02348
4.03  -1.94429  -4.4  -4.4  -1.94429
4.04  -1.86435  -4.2  -4.2  -1.86435
4.05  -1.78364  -4  -4  -1.78364
4.06  -1.70216  -3.8  -3.8  -1.70216
4.07  -1.6199  -3.6  -3.6  -1.6199
4.08  -1.53686  -3.4  -3.4  -1.53686
4.09  -1.45303  -3.2  -3.2  -1.45303
4.1  -1.3684  -3  -3  -1.3684
4.11  -1.28298  -2.8  -2.8  -1.28298
4.12  -1.19676  -2.6  -2.6  -1.19676
4.13  -1.10972  -2.4  -2.4  -1.10972
4.14  -1.02187  -2.2  -2.2  -1.02187
4.15  -0.933197  -2  -2  -0.933197
4.16  -0.843697  -1.8  -1.8  -0.843697
4.17  -0.753363  -1.6  -1.6  -0.753363
4.18  -0.662191  -1.4  -1.4  -0.662191
4.19  -0.570174  -1.2  -1.2  -0.570174
4.2  -0.477306  -1  -1  -0.477306
4.21  -0.383582  -0.8  -0.8  -0.383582
4.22  -0.288996  -0.6  -0.6  -0.288996
4.23  -0.0184326  -0.4  -0.4  -0.0184326
4.24  -0.00924846  -0.2  -0.2  -0.00924846
4.25  -4.28091e-14  -9.23706e-13  -9.23706e-13  -4.28091e-14
4.26  0.00931316  0.2  0.2  0.00931316
4.27  0.0186914  0.4  0.4  0.0186914
4.28  0.296977  0.6  0.6  0.296977
4.29  0.397771  0.8  0.8  0.397771
4.3  1.05883  1  1  1.05883
4.31  1.30427  1.2  1.2  1.30427
4.32  1.52165  1.4  1.4  1.52165
4.33  1.73903  1.6  1.6  1.73903
4.34  1.95641  1.8  1.8  1.95641
4.35  2.17378  2  2  2.17378
4.36  2.39116  2.2  2.2  2.39116
4.37  2.60854  2.4  2.4  2.60854
4.38  2.82592  2.6  2.6  2.82592
4.39  3.0433  2.8  2.8  3.0433
4.4  3.26068  3  3  3.26068
4.41  3.47805  3.2  3.2  3.47805
4.42  3.69543  3.4  3.4  3.69543
4.43  3.91281  3.6  3.6  3.91281
4.44  4.13019  3.8  3.8  4.13019
4.45  4.34757  4  4  4.34757
4.46  4.56495  4.2  4.2  4.56495
4.47  4.78233  4.4  4.4  4.78233
4.48  4.9997  4.6  4.6  4.9997
4.49  5.21708  4.8  4.8  5.21708
4.5  5.43446  5  5  5.43446
4.51  5.21708  4.8  4.8  5.21708
4.52  4.9997  4.6  4.6  4.9997
4.53  4.78233  4.4  4.4  4.78233
4.54  4.56495  4.2  4.2  4.56495
4.55  4.34757  4  4  4.34757
4.56  4.13019  3.8  3.8  4.13019
4.57  3.91281  3.6  3.6  3.91281
4.58  3.69543  3.4  3.4  3.69543
4.59  3.47805  3.2  3.2  3.47805
4.6  3.26068  3  3  3.26068
4.61  3.0433  2.8  2.8  3.0433
4.62  2.82592  2.6  2.6  2.82592
4.63  2.60854  2.4  2.4  2.60854
4.64  2.39116  2.2  2.2  2.39116
4.65  2.17378  2  2  2.17378
4.66  1.95641  1.8  1.8  1.95641
4.67  1.73903  1.6  1.6  1.73903
4.68  1.52165  1.4  1.4  1.52165
4.69  1.30427  1.2  1.2  1.30427
4.7  1.08689  1  1  1.08689
4.71  0.869514  0.8  0.8  0.869514
4.72  0.313947  0.6  0.6  0.313947
4.73  0.0187788  0.4  0.4  0.0187788
4.74  0.00935663  0.2  0.2  0.00935663
4.75  5.29854e-14  1.13687e-12  1.13687e-12  5.29854e-14
4.76  -0.00929153  -0.2  -0.2  -0.00929153
4.77  -0.0185184  -0.4  -0.4  -0.0185184
4.78  -0.289124  -0.6  -0.6  -0.289124
4.79  -0.383752  -0.8  -0.8  -0.383752
4.8  -0.477518  -1  -1  -0.477518
4.81  -0.570427  -1.2  -1.2  -0.570427
4.82  -0.662484  -1.4  -1.4  -0.662484
4.83  -0.753697  -1.6  -1.6  -0.753697
4.84  -0.84407  -1.8  -1.8  -0.84407
4.85  -0.93361  -2  -2  -0.93361
4.86  -1.02232  -2.2  -2.2  -1.02232
4.87  -1.11021  -2.4  -2.4  -1.11021
4.88  -1.19729  -2.6  -2.6  -1.19729
4.89  -1.28355  -2.8  -2.8  -1.28355
4.9  -1.36901  -3  -3  -1.36901
4.91  -1.45367  -3.2  -3.2  -1.45367
4.92  -1.53754  -3.4  -3.4  -1.53754
4.93  -1.62061  -3.6  -3.6  -1.62061
4.94  -1.70291  -3.8  -3.8  -1.70291
4.95  -1.78443  -4  -4  -1.78443
4.96  -1.86517  -4.2  -4.2  -1.86517
4.97  -1.94515  -4.4  -4.4  -1.94515
4.98  -2.02437  -4.6  -4.6  -2.02437
4.99  -2.10284  -4.8  -4.8  -2.10284
5  -2.18055  -5  -5  -2.18055
5.01  -2.10191  -4.8  -4.8  -2.10191
5.02  -2.02348  -4.6  -4.6  -2.02348
5.03  -1.94429  -4.4  -4.4  -1.94429
5.04  -1.86435  -4.2  -4.2  -1.86435
5.05  -1.78364  -4  -4  -1.78364
5.06  -1.70216  -3.8  -3.8  -1.70216
5.07  -1.6199  -3.6  -3.6  -1.6199
5.08  -1.53686  -3.4  -3.4  -1.53686
5.09  -1.45303  -3.2  -3.2  -1.45303
5.1  -1.3684  -3  -3  -1.3684
